DISSOLVEID, STEWARD_ID
101583,50594
103608,62987
102180,8470
1982,53263
2353,12532
1922,51433
180,12697
615,12697
101375,60746
22,28868
102018,5799
1680,62171
102013,57650
1093,55586
101443,60746
2116,48345
102098,8470
820,21121
1580,28832
1762,63301
2347,43262
2497,43262
102166,8470
1420,54555
101405,60746
57,58672
132,62757
1471,51433
2006,52180
481,62757
101466,60746
1619,48797
854,7245
1377,48797
1768,62757
101324,60746
1859,63301
1618,28868
102178,8470
2238,44476
2134,51433
740,33909
1847,63301
101677,50594
101839,48345
14,48797
884,44659
723,63301
2560,63301
1199,47193
1649,51433
771,12697
1874,45392
1481,58672
104789,65516
1860,54555
2093,48345
101489,60746
101414,60746
199,12532
1072,61501
101648,50594
103110,27632
104109,43580
102282,45392
101686,20231
777,23968
104630,48797
209,12697
985,12532
103613,62987
2371,48797
1159,63301
2599,12697
1869,2836
37,63301
104682,2222
542,64686
1851,63301
102108,8470
1696,59525
1666,64686
102335,25462
1365,44476
101470,60746
101456,60746
567,6810
101292,60746
102053,5799
2068,25462
2496,45392
101630,50594
1,48797
457,35115
1973,51433
1546,52180
101935,12697
102117,8470
101884,44476
1640,48797
101608,50594
1746,7245
104632,48797
1563,48797
2682,33909
101943,5833
101576,50594
102287,45392
265,45392
101441,60746
434,48797
2566,48797
101515,60746
1067,44659
102294,45392
102089,5799
2372,48797
880,51433
1830,12697
2212,63301
600,12697
862,51433
101600,50594
102299,45392
1875,64267
183,48797
102209,22159
1402,62757
101833,48345
343,25462
947,8470
2558,48797
102829,20976
2362,48797
101678,50594
2683,48797
855,44659
2438,51433
2016,63301
104790,65516
576,44476
2352,48345
2443,7245
1037,51433
1274,48797
101281,60746
1930,48345
2220,48797
101458,60746
102248,22159
634,62171
1849,63301
1327,48797
2075,63301
67,63301
2595,51433
2359,57749
102255,22159
1464,5799
26,51433
2203,51433
101645,50594
102842,20976
2283,63408
104795,65516
1178,20231
101762,63301
101864,44476
1187,1960
103609,62987
103601,62987
1059,48797
104631,48797
1357,7245
251,7245
2281,27011
1148,27011
1114,27011
403,27011
969,27011
1808,27011
267,54555
731,27011
2721,27011
101333,60746
100560,3750
262,27011
101295,60746
2056,55586
1472,27011
1146,22754
2233,27011
1701,27011
2158,43580
864,51433
2500,21074
2272,27011
1215,27011
1380,27011
856,27011
1284,27011
1122,35887
2773,12697
413,48797
1068,12697
2422,20231
1310,57749
1536,48797
102164,8470
101505,60746
2574,51433
1021,28868
102135,8470
1523,48797
103109,27632
1506,27011
104681,2222
1917,44659
2469,33909
1455,57749
101775,63301
1032,58672
101483,60746
1854,63301
1607,51433
1892,7245
896,44476
797,12697
1003,5833
102049,5799
34,63301
835,21074
804,48797
1610,2836
2167,31607
2160,35115
2297,48345
1718,60746
2578,54555
101481,60746
101714,12532
2364,62757
1603,62757
1079,63301
102137,8470
2195,5833
101309,60746
101793,63301
1311,22159
101498,60746
1244,45392
1630,61501
2018,7245
1428,22159
1241,6810
935,53263
104638,48797
1790,48797
1782,12697
586,12697
1735,51433
563,48797
101968,5833
101828,48345
102205,22159
1305,22159
2061,39585
2080,48797
2047,45392
101926,51433
1086,48345
1161,57650
2548,48797
101396,60746
556,48797
1359,48797
772,12697
102396,37829
319,12697
2650,58672
2557,25462
101463,60746
2479,45392
2515,48797
2584,48797
101384,60746
103620,62987
234,62757
2688,43580
1776,58672
1983,44659
174,63301
1253,44476
932,8470
101382,60746
102014,57650
766,44476
1076,63301
1559,45392
2432,51433
390,63301
1185,63301
1483,51433
473,27934
1742,48797
78,58672
52,20231
2412,44476
181,12697
531,16980
552,45392
1261,44659
102298,45392
1108,7245
102251,22159
101345,60746
102116,8470
101706,12532
2474,44659
338,25462
1477,27934
101379,60746
101374,60746
101590,50594
367,63301
101692,57749
627,61580
102360,25462
103604,62987
1682,43580
1157,28832
1645,12697
2729,63301
837,48797
102292,45392
102044,5799
103628,53263
102269,45392
386,63301
970,25462
2556,16980
2616,48797
93,63301
102293,45392
1193,48797
747,6810
769,61501
827,50594
850,51433
1307,63301
104089,31607
2293,44659
35,63301
101479,60746
2115,44659
2133,28832
104082,43580
2580,5833
102055,5799
2722,7245
101395,60746
102284,45392
2003,48797
2309,40542
1878,44476
102225,22159
222,48797
2518,48797
2390,59683
446,48797
1541,51433
580,28694
1299,48797
101646,50594
101785,63301
139,63301
381,48797
210,25462
1008,63301
102384,37104
498,44659
102388,37104
2433,28832
104068,43580
119,27934
2386,44659
102088,5799
990,51433
103376,58672
101385,60746
104782,65516
102004,57650
1258,44659
173,8470
101474,60746
2170,12697
812,44659
101490,60746
801,63301
2406,58672
102236,22159
286,48797
101337,60746
375,48797
101276,60746
983,48345
103374,58672
1772,58672
101609,50594
2257,63301
104715,5127
2701,12697
2258,63301
1526,22159
2363,22159
1627,63301
1276,51433
101898,44476
102235,22159
104625,48797
2571,65516
955,8470
1912,48797
2704,5799
2092,25462
2219,58672
101691,20231
2225,61501
2268,12697
1224,62757
28,63301
710,48797
2361,63301
1615,45392
102835,20976
101914,44659
17,51433
1650,44659
429,44659
1910,12697
2681,63301
1345,44659
104290,27011
2473,27011
897,27011
1136,27011
982,27011
2752,27011
851,27011
1498,27011
1229,27011
2427,27011
676,27011
1266,27011
104700,5127
331,8470
2354,27011
1217,27011
965,27011
104140,57992
102402,37829
886,48345
102194,22159
2523,62987
2156,25462
2467,27011
2638,27011
101938,5833
1507,27011
1690,51433
1653,27011
517,27011
2457,27011
103632,53263
2677,48797
744,27011
910,27011
198,44476
102213,22159
102074,5799
1416,51433
1396,44659
101942,5833
101601,50594
825,45392
101338,60746
1074,63301
101457,60746
2470,7245
755,63301
1585,5799
101749,63301
104915,12697
101530,60746
645,61501
102121,8470
102841,20976
2031,44476
101485,60746
2270,12697
612,48797
2680,48797
950,25462
2084,63301
1041,12697
