id,name,url,phone,address
32649,Audubon Society of Portland,http://audubonportland.org/,503-292-6855,"5151 NW Cornell Rd, Portland, OR 97210"
58746,Banks Sunset Park Association Inc,http://www.bankssunsetpark.com/,503-324-9488,"12765 NW Main Street, Banks OR 97106"
62142,Beaverton School District,https://www.beaverton.k12.or.us/,503-591-8000,
31498,Bonneville Power Administration,www.bpa.gov,503-230-3000,"905 NE 11th Ave, Portland, OR 97232"
28627,Boy Scouts of America,http://www.scouting.org/,503-226-3423,"2145 SW Naito Pkwy, Portland, OR 97201"
60746,Bureau of Land Management,http://www.blm.gov/,503-808-6001,"1220 S.W. 3rd Avenue, Portland, OR 97204"
28694,Charbonneau Country Club,http://charbonneaugolfclub.com/,503-694-1246,"32020 SW Charbonneau Dr, Wilsonville, OR 97070"
59558,Chehalem Parks and Recreation District,http://www.cprdnewberg.org/,503-537-2909,"125 S Elliott Rd, Newberg, OR 97132"
35887,City of Banks,http://www.cityofbanks.org/,503-324-5112,"13680 NW Main Street, Banks, OR 97106"
6810,City of Battle Ground,http://www.cityofbg.org/,360-342-5380,"912 East Main St. Battle Ground, WA 98604"
50594,City of Beaverton,http://www.beavertonoregon.gov/,503-526-2222,"12725 SW Millikan Way, Beaverton, OR 97005"
54555,City of Camas,http://www.cityofcamas.us/,360-834-5307,"616 NE 4th Avenue, Camas, WA  98607"
27934,City of Canby,http://www.ci.canby.or.us/,503-266-4021,"182 N. Holly Street, Canby Oregon 97013"
20231,City of Cornelius,http://www.ci.cornelius.or.us/,503-357-9112,"1355 N. Barlow St., Cornelius, OR 97113"
60633,City of Damascus,http://www.ci.damascus.or.us/,503-658-8545,"19920 SE Highway 212, Damascus, OR 97089"
21074,City of Durham,http://durhamnc.gov/,919560-1200,"101 City Hall Plaza, Durham, NC 27701"
16980,City of Estacada,http://www.cityofestacada.org/,503-630-8270,"475 SE Main Street, Estacada, OR  97023"
57749,City of Fairview,http://fairvieworegon.gov/,503-665-7929,"1300 NE Village Street, Fairview, Oregon 97024"
12532,City of Forest Grove,http://www.forestgrove-or.gov/,503-992-3200,"1924 Council Street, Forest Grove, Oregon 97116"
61501,City of Gladstone,http://www.ci.gladstone.or.us/,503-656-5225,"525 Portland Ave. Gladstone, OR 97027"
7245,City of Gresham,http://greshamoregon.gov/,503-661-3000,"1333 NW Eastman Parkway, Gresham, OR 97030 USA"
25719,City of Gresham Department of Environmental Services,http://www.greshamoregon.gov/city/city-departments/environmental-services/,503-618-2525,"1333 NW Eastman Parkway, Gresham, OR 97030 USA"
40542,City of Gresham Parks and Recreation,https://greshamoregon.gov/parks/,503-661-3000,"1333 NW Eastman Parkway, Gresham, OR 97030 USA"
52180,City of Happy Valley,http://www.happyvalleyor.gov/,503-783-3800,"16000 SE Misty Drive, Happy Valley, OR 97086"
63301,City of Hillsboro,http://www.ci.hillsboro.or.us/,503-681-6100,"150 E Main Street, Hillsboro OR 97123"
23293,City of Hillsboro Parks and Recreation,http://www.ci.hillsboro.or.us/index.aspx?page=90,503-681-6120,"4400 NW 229th Ave, Hillsboro, OR 97124"
14509,City of Hubbard,http://www.cityofhubbard.org/,503-981-9633,3720 Second Street Hubbard OR 97032
50435,City of Johnson City,http://www.oregoncities.us/johnsoncity/,503-655-9710,16120 SE 81st Street Johnson City OR 97267
63036,City of King City,http://www.ci.king-city.or.us/,503-639-4082,"15300 SW 116th Avenue, King City, OR 97224 - 2693"
17500,City of La Center,http://www.ci.lacenter.wa.us/,360-263-2782,"214 East 4th Street, La Center WA 98629"
48345,City of Lake Oswego,http://www.ci.oswego.or.us/,,"380 A Avenue, Lake Oswego OR 97034"
5999,City of Lake Oswego Redevelopment Agency,http://www.ci.oswego.or.us/,503-534-4225,"380 A Avenue, Lake Oswego OR 97034"
33312,City of Milwaukie,http://www.milwaukieoregon.gov/,503-786-7555,"10722 SE Main Street, Milwaukie OR 97222"
62171,City of Molalla,http://www.cityofmolalla.com/,503-829-6855,"117 N Molalla Avenue, Molalla OR 97038"
29764,City of Newberg,https://www.newbergoregon.gov/,503-538-9421,"414 E First Street, Newberg OR 97132"
2836,City of North Plains,http://cityofnp.org/,503-647-5555,"31360 NW Commercial Street, North Plans OR 97133"
44476,City of Oregon City,http://www.orcity.org/,503-657-0891,"625 Center Street, Oregon City 97045"
44659,City of Portland,http://www.portlandoregon.gov/,503-823-4000,"1221 SW 4th Ave Room 110, Portland OR 97204"
5833,City of Portland Bureau of Environmental Services,http://www.portlandoregon.gov/bes/,503-823-7740,"1120 SW 5th Ave Room 1000, Portland OR 97204"
14586,City of Portland Bureau of Facilities Management,https://www.portlandoregon.gov/bibs/26594,503-823-5252,"1120 SW 5th Ave Room 1000, Portland OR 97204"
14172,City of Portland Bureau of Fire and Rescue,https://www.portlandoregon.gov/fire/,503-823-3700,"55 SW Ash Street, Portland OR 97204"
49916,City of Portland Bureau of General Services,http://www.portlandoregon.gov/inr_view.cfm?id=406,503-823-4000,"1221 SW 4th Ave Room 110, Portland OR 97204"
51433,City of Portland Bureau of Parks and Recreation,http://www.portlandoregon.gov/parks/,503-823-6007,"1120 SW 5th Ave Suite 1302, Portland OR 97204"
2130,City of Portland Development Commission,http://www.portlandoregon.gov/bds/,503-823-7300,"1900 SW 4th Ave, Portland OR 97201"
28832,City of Portland Water Bureau,https://www.portlandoregon.gov/water/,503-823-7404,"1120 SW 5th Ave Suite 600, Portland OR 97204"
26692,City of Ridgefield,http://www.ci.ridgefield.wa.us/,360-887-3557,"230 Pioneer Street, Ridgefield WA 98642"
39585,City of Rivergrove,http://cityofrivergrove.com/,503-639-6919,"PO Box 1104, Lake Oswego OR 97035"
57650,City of Sandy,http://www.ci.sandy.or.us/,503-668-5533,"39250 Pioneer Blvd, Sandy, OR 97055"
32881,City of Scappoose,http://www.ci.scappoose.or.us/,503-543-7146,"33568 E. Columbia Ave, Scappoose OR 97056"
5799,City of Sherwood,http://www.sherwoodoregon.gov/,503-625-5522,"22560 SW Pine Street, Sherwood OR 97140"
31572,City of St Helens,http://www.ci.st-helens.or.us/,503-397-6272,"265 Strand Street, St. Helens OR 97051"
8470,City of Tigard,http://www.tigard-or.gov/,503-639-4171,"13125 SW Hall Blvd, Tigard, OR 97223"
29623,City of Tigard Parks,http://www.tigard-or.gov/community/parks/,503-639-4171,"13125 SW Hall Blvd, Tigard, OR 97223"
62757,City of Troutdale,http://www.ci.troutdale.or.us/,503-665-5175,"219 E Historic Columbia River Hwy, Troutdale OR"
49008,City of Troutdale Parks and Facilities,http://www.ci.troutdale.or.us/parks-facilities/,503-674-3300,"342 SW 4th Street, Troutdale OR 97060"
22159,City of Tualatin,http://www.tualatinoregon.gov/,503-691-3044,"18880 SW Martinazzi Ave, Tualatin, OR 97062"
27456,City of Tualatin Parks,http://www.tualatinoregon.gov/recreation,503-691-3061,"18880 SW Martinazzi Ave, Tualatin, OR 97062"
12346,City of Vancouver,http://www.cityofvancouver.us/,(360) 487-8629,"415 West 6th Street, Vancouver, WA 98668"
55586,City of Washougal,http://www.cityofwashougal.us/,360-835-8501,"1701 C Street, Washougal WA 98671"
45392,City of West Linn,http://westlinnoregon.gov/,503-657-0331,"22500 Salamo Road, West Linn OR 97068"
5446,City of West Linn Parks and Recreation Department,http://westlinnoregon.gov/parksrec,503557-4700,"Parks & Recreation, 22500 Salamo Road, West Linn , OR 97068"
33909,City of Wilsonville,http://www.ci.wilsonville.or.us/,503-682-1011,"29799 SW Town Center Loop E, Wilsonville OR 97070"
31563,City of Wilsonville Urban Renewal Agency,http://www.ci.wilsonville.or.us/180/Urban-Renewal,503-682-4960,"29799 SW Town Center Loop E, Wilsonville OR 97070"
21121,City of Wood Village,http://www.ci.wood-village.or.us/,503-667-6211,"2055 NE 238th Dr, Wood Village, OR 97060"
38180,City of Woodburn,http://www.woodburn-or.gov/,503-982-5222,"270 Montgomery St, Woodburn OR 97071"
27134,Clackamas Community College,https://www.clackamas.edu/,503-594-6000,"19600 Molalla Ave, Oregon City, OR 97045"
25462,Clackamas County,http://www.clackamas.us/,503-742-4414,"150 Beavercreek Rd, Oregon City, OR 97045"
178,Clackamas County Business and Community Services,http://www.clackamas.us/,503-742-4344,"150 Beavercreek Rd, Oregon City, OR 97045"
47193,Clackamas County Development Agency,http://www.clackamas.us/development/,503-742-4323,"150 Beavercreek Rd, Oregon City, OR 97045"
8369,Clackamas County Service District,http://www.clackamas.us/wes/,503-742-4567,"150 Beavercreek Rd, Oregon City, OR 97045"
54604,Clackamas River Water District,http://www.crwater.com/,503-722-9220,"16770 SE 82nd Drive, Clackamas OR 97015"
61580,Claremont Civic Association,http://www.claremontcivic.com/,503-645-7600,"15800 NW Country Club Dr, Portland OR 97229"
12347,Clark County,http://www.clark.wa.gov/,(360) 397-2000,
45381,Clark County Parks,http://www.clarkparks.org/,360-397-6118,"1300 Franklin Street, 4th Floor, PO Box 9810, Vancouver WA 98666"
37104,Clean Water Services,http://www.cleanwaterservices.org/,503-681-3600,"2550 Southwest Hillsboro Highway, Hillsboro, Oregon 97123"
5745,Columbia County,http://www.co.columbia.or.us/,503-397-7210,"230 Strand Street, St. Helens, OR 97051"
37829,Columbia Land Trust,http://www.columbialandtrust.org/,360-696-0131,"1351 Officers Row, Vancouver WA 98661"
35415,Cove Orchard Sewer District,,,
23968,Damascus Civic Club,http://damascuscivicclub.org/,,
14741,David Douglas School District,http://www.ddouglas.k12.or.us/,503-256-6500,"1500 SE 130th Ave, Portland, OR 97233"
20091,Fairview-Rockwood-Wilkes Historical Society Inc,http://frwhs.org/,503-261-8078,"PO Box 946, Fairview OR 97024"
30609,Forest Grove Parks and Recreation Department,http://www.forestgrove-or.gov/city-hall/parks-recreation/parks-a-recreation.html,503-992-3237,"1924 Council Street, Forest Grove, Oregon 97116"
41792,Forest Grove School District,http://www.fgsd.k12.or.us/pages/ForestGroveSD,503-357-6171,"1728 Main Street, Forest Grove, OR 97116"
31788,Forests Forever Inc,http://www.forestsforever.org/,415-974-3636,"209 Kearny St, San Francisco CA 94108"
55651,Friends of the Columbia Gorge Land Trust,http://www.gorgefriends.org/section.php?id=36,503-241-3762,"522 SW Fifth Ave Suite 720, Portland OR 97204"
56012,Girl Scouts of Oregon and SW Washington,http://www.girlscoutsosw.org/,1-800-338-5248,
46809,Gresham Parks and Recreation,http://www.greshamoregon.gov/parks/,503-661-3000,"1333 NW Eastman Parkway, Gresham, OR 97030 USA"
36451,Gresham-Barlow School District,http://district.gresham.k12.or.us/,503-261-4550,"1331 NW Eastman Parkway, Gresham, OR 97030"
22754,H. B. Fuller Company,http://www.hbfuller.com/north-america,,
18207,Harmony Community Campus,http://www.clackamas.edu/Harmony/,503-594-0620,"7738 SE Harmony Rd, Milwaukie OR 97222"
60680,Hillsboro Parks and Recreation,http://www.hillsboro-oregon.gov/,503-681-6120,"4400 NW 229th Ave, Hillsboro, OR 97124"
7148,Hillsboro School District,http://www.hsd.k12.or.us/,503-844-1500,"3083 Northeast 49th Place, Hillsboro, OR 97124"
20976,Housing Authority of Portland,http://www.hapdx.org/,503-802-8300,"135 SW Ash Street, Portland OR 97204"
21732,Lake Oswego Corporation,http://www.lakecorp.com/,503-636-1422,"698 McVey Ave, Lake Oswego OR 97034"
65215,Lake Oswego Parks and Recreation Department,http://www.ci.oswego.or.us/parksrec,503-675-2549,"4101 Kruse Way, Lake Oswego, OR 97034"
19767,Lake Oswego School District,http://www.edline.net/pages/Lake_Oswego_School_District,503-534-2000,"2455 Country Club Road, Lake Oswego, OR 97034"
37675,Marion County,http://www.co.marion.or.us/,,
56324,Marylhurst University,http://www.marylhurst.edu/,503-636-8141,"17600 Pacific Highway, PO Box 261, Marylhurst OR 97036"
27632,Matrix Development Corporation,http://www.mdcweb.com/,716-568-9022,"27 South Woodside Lane, Williamsville NY 14221"
3750,Mentor Graphics Corp,http://www.mentor.com/,1-800-592-2210,"8005 SW Boeckman Road, Wilsonville OR 97070"
12697,Metro,http://www.oregonmetro.gov,503-797-1700,"600 NE Grand Ave, Portland, OR 97323"
59122,Milwaukie Covenant Church,http://www.milwaukiecovenant.org/,503-654-7374,"12201 SE Linwood Ave, Portland, OR 97222"
64522,Mountain Park Homeowners Association,http://www.mountainparkhoa.com/,503-635-3561,"2 Mt Jefferson Terr, Lake Oswego OR 97035"
62760,Multnomah County,https://multco.us/,503-823-4000,"501 SE Hawthorne Blvd, Portland, OR 97214"
